split_name,fold_id,record_index,framework_uid,working_ion,coarse_family,host_chemsys_no_working_ion
framework_groupkfold,0,K_000000,K|AgAsF6,K,halide_or_fluoride_like,Ag-As-F
framework_groupkfold,0,K_000004,K|Zr6BeCl15,K,halide_or_fluoride_like,Be-Cl-Zr
framework_groupkfold,0,K_000017,K|FeNi(CN)6,K,other_or_unclear,C-Fe-N-Ni
framework_groupkfold,0,K_000020,K|NiH8(CO5)2,K,transition_metal_oxide_like,C-H-Ni-O
framework_groupkfold,0,K_000021,K|MnPCO7,K,polyanion_phosphate_like,C-Mn-O-P
framework_groupkfold,0,K_000028,K|CrO2,K,transition_metal_oxide_like,Cr-O
framework_groupkfold,0,K_000031,K|CrO2,K,transition_metal_oxide_like,Cr-O
framework_groupkfold,0,K_000032,K|CrO2,K,transition_metal_oxide_like,Cr-O
framework_groupkfold,0,K_000033,K|Cr2(PS4)3,K,sulfide_like,Cr-P-S
framework_groupkfold,0,K_000034,K|CrP2S7,K,sulfide_like,Cr-P-S
framework_groupkfold,0,K_000041,K|Cs2NiF6,K,halide_or_fluoride_like,Cs-F-Ni
framework_groupkfold,0,K_000044,K|Cu4(PO4)3,K,polyanion_phosphate_like,Cu-O-P
framework_groupkfold,0,K_000049,K|FeSe,K,other_or_unclear,Fe-Se
framework_groupkfold,0,K_000063,K|Mn6P7O24,K,polyanion_phosphate_like,Mn-O-P
framework_groupkfold,0,K_000069,K|TiO2,K,transition_metal_oxide_like,O-Ti
framework_groupkfold,0,K_000070,K|VO2,K,transition_metal_oxide_like,O-V
framework_groupkfold,0,K_000087,K|Ca9Co(PO4)7,K,polyanion_phosphate_like,Ca-Co-O-P
framework_groupkfold,0,K_000094,K|Lu(NbCl3)6,K,halide_or_fluoride_like,Cl-Lu-Nb
framework_groupkfold,0,K_000096,K|MoCl6,K,halide_or_fluoride_like,Cl-Mo
framework_groupkfold,0,K_000101,K|CoF3,K,halide_or_fluoride_like,Co-F
framework_groupkfold,0,K_000103,K|Rb2CoF6,K,halide_or_fluoride_like,Co-F-Rb
framework_groupkfold,0,K_000106,K|Cs2CrF6,K,halide_or_fluoride_like,Cr-Cs-F
framework_groupkfold,0,K_000125,K|NaMoF6,K,halide_or_fluoride_like,F-Mo-Na
framework_groupkfold,0,K_000131,K|SbSO4F3,K,sulfate_or_sulfur_oxoanion_like,F-O-S-Sb
framework_groupkfold,0,K_000132,K|Rb2VF6,K,halide_or_fluoride_like,F-Rb-V
framework_groupkfold,0,K_000140,K|Mo2P3O13,K,polyanion_phosphate_like,Mo-O-P
framework_groupkfold,0,K_000141,K|Mo2P3O13,K,polyanion_phosphate_like,Mo-O-P
framework_groupkfold,0,K_000148,K|NbO3,K,transition_metal_oxide_like,Nb-O
framework_groupkfold,0,K_000155,K|Ni3P3O11,K,polyanion_phosphate_like,Ni-O-P
framework_groupkfold,0,K_000159,K|Ti2(PO4)3,K,polyanion_phosphate_like,O-P-Ti
framework_groupkfold,0,K_000162,K|V2(PO4)3,K,polyanion_phosphate_like,O-P-V
framework_groupkfold,0,Li_000005,Li|AgF2,Li,halide_or_fluoride_like,Ag-F
framework_groupkfold,0,Li_000016,Li|Al2FeO6,Li,transition_metal_oxide_like,Al-Fe-O
framework_groupkfold,0,Li_000018,Li|Tb2AlFeO6,Li,transition_metal_oxide_like,Al-Fe-O-Tb
framework_groupkfold,0,Li_000024,Li|CrAsCO7,Li,transition_metal_oxide_like,As-C-Cr-O
framework_groupkfold,0,Li_000031,Li|FeAs,Li,other_or_unclear,As-Fe
