check,expected,observed,pass,detail
feature_file::max_delta_volume::P1,True,True,True,C:\Users\IICT-1\cmt new\leakage-audited-multion-electrode-ml.v1-main\data\processed\notebook_02\protocol_feature_lists\02_protocol_P1_features_for_target_max_delta_volume.csv
feature_unique::max_delta_volume::P1,73,73,True,
features_present::max_delta_volume::P1,0,0,True,
feature_file::max_delta_volume::P2,True,True,True,C:\Users\IICT-1\cmt new\leakage-audited-multion-electrode-ml.v1-main\data\processed\notebook_02\protocol_feature_lists\02_protocol_P2_features_for_target_max_delta_volume.csv
feature_unique::max_delta_volume::P2,77,77,True,
features_present::max_delta_volume::P2,0,0,True,
feature_file::max_delta_volume::P3,True,True,True,C:\Users\IICT-1\cmt new\leakage-audited-multion-electrode-ml.v1-main\data\processed\notebook_02\protocol_feature_lists\02_protocol_P3_features_for_target_max_delta_volume.csv
feature_unique::max_delta_volume::P3,96,96,True,
features_present::max_delta_volume::P3,0,0,True,
nested_P1_P2::max_delta_volume,True,True,True,
nested_P2_P3::max_delta_volume,True,True,True,
feature_file::stability_charge::P1,True,True,True,C:\Users\IICT-1\cmt new\leakage-audited-multion-electrode-ml.v1-main\data\processed\notebook_02\protocol_feature_lists\02_protocol_P1_features_for_target_stability_charge.csv
feature_unique::stability_charge::P1,73,73,True,
features_present::stability_charge::P1,0,0,True,
feature_file::stability_charge::P2,True,True,True,C:\Users\IICT-1\cmt new\leakage-audited-multion-electrode-ml.v1-main\data\processed\notebook_02\protocol_feature_lists\02_protocol_P2_features_for_target_stability_charge.csv
feature_unique::stability_charge::P2,93,93,True,
features_present::stability_charge::P2,0,0,True,
feature_file::stability_charge::P3,True,True,True,C:\Users\IICT-1\cmt new\leakage-audited-multion-electrode-ml.v1-main\data\processed\notebook_02\protocol_feature_lists\02_protocol_P3_features_for_target_stability_charge.csv
feature_unique::stability_charge::P3,105,105,True,
features_present::stability_charge::P3,0,0,True,
nested_P1_P2::stability_charge,True,True,True,
nested_P2_P3::stability_charge,True,True,True,
feature_file::stability_discharge::P1,True,True,True,C:\Users\IICT-1\cmt new\leakage-audited-multion-electrode-ml.v1-main\data\processed\notebook_02\protocol_feature_lists\02_protocol_P1_features_for_target_stability_discharge.csv
feature_unique::stability_discharge::P1,73,73,True,
features_present::stability_discharge::P1,0,0,True,
feature_file::stability_discharge::P2,True,True,True,C:\Users\IICT-1\cmt new\leakage-audited-multion-electrode-ml.v1-main\data\processed\notebook_02\protocol_feature_lists\02_protocol_P2_features_for_target_stability_discharge.csv
feature_unique::stability_discharge::P2,93,93,True,
features_present::stability_discharge::P2,0,0,True,
feature_file::stability_discharge::P3,True,True,True,C:\Users\IICT-1\cmt new\leakage-audited-multion-electrode-ml.v1-main\data\processed\notebook_02\protocol_feature_lists\02_protocol_P3_features_for_target_stability_discharge.csv
feature_unique::stability_discharge::P3,105,105,True,
features_present::stability_discharge::P3,0,0,True,
nested_P1_P2::stability_discharge,True,True,True,
nested_P2_P3::stability_discharge,True,True,True,
feature_file::stability_worst::P1,True,True,True,C:\Users\IICT-1\cmt new\leakage-audited-multion-electrode-ml.v1-main\data\processed\notebook_02\protocol_feature_lists\02_protocol_P1_features_for_target_stability_worst.csv
feature_unique::stability_worst::P1,73,73,True,
features_present::stability_worst::P1,0,0,True,
feature_file::stability_worst::P2,True,True,True,C:\Users\IICT-1\cmt new\leakage-audited-multion-electrode-ml.v1-main\data\processed\notebook_02\protocol_feature_lists\02_protocol_P2_features_for_target_stability_worst.csv
feature_unique::stability_worst::P2,93,93,True,
features_present::stability_worst::P2,0,0,True,
feature_file::stability_worst::P3,True,True,True,C:\Users\IICT-1\cmt new\leakage-audited-multion-electrode-ml.v1-main\data\processed\notebook_02\protocol_feature_lists\02_protocol_P3_features_for_target_stability_worst.csv
feature_unique::stability_worst::P3,105,105,True,
features_present::stability_worst::P3,0,0,True,
nested_P1_P2::stability_worst,True,True,True,
nested_P2_P3::stability_worst,True,True,True,
