relative_path,pattern,n_matches,pass
audit/11_core_mapping_audit.csv,api_key_assignment,0,True
audit/11_core_mapping_audit.csv,previous_repository_identifier,0,True
audit/11_preflight_audit.csv,api_key_assignment,0,True
audit/11_preflight_audit.csv,previous_repository_identifier,0,True
audit/11_raw_record_resolution_audit.csv,api_key_assignment,0,True
audit/11_raw_record_resolution_audit.csv,previous_repository_identifier,0,True
audit/11_structure_parse_and_identity_audit.csv,api_key_assignment,0,True
audit/11_structure_parse_and_identity_audit.csv,previous_repository_identifier,0,True
dft_inputs/Na_candidate_02/charged/01_relax/POTCAR.spec,api_key_assignment,0,True
dft_inputs/Na_candidate_02/charged/01_relax/POTCAR.spec,previous_repository_identifier,0,True
dft_inputs/Na_candidate_02/charged/02_static_template/POTCAR.spec,api_key_assignment,0,True
dft_inputs/Na_candidate_02/charged/02_static_template/POTCAR.spec,previous_repository_identifier,0,True
dft_inputs/Na_candidate_02/charged/02_static_template/README_STATIC_STAGE.txt,api_key_assignment,0,True
dft_inputs/Na_candidate_02/charged/02_static_template/README_STATIC_STAGE.txt,previous_repository_identifier,0,True
dft_inputs/Na_candidate_02/discharged/01_relax/POTCAR.spec,api_key_assignment,0,True
dft_inputs/Na_candidate_02/discharged/01_relax/POTCAR.spec,previous_repository_identifier,0,True
dft_inputs/Na_candidate_02/discharged/02_static_template/POTCAR.spec,api_key_assignment,0,True
dft_inputs/Na_candidate_02/discharged/02_static_template/POTCAR.spec,previous_repository_identifier,0,True
dft_inputs/Na_candidate_02/discharged/02_static_template/README_STATIC_STAGE.txt,api_key_assignment,0,True
dft_inputs/Na_candidate_02/discharged/02_static_template/README_STATIC_STAGE.txt,previous_repository_identifier,0,True
dft_inputs/Na_candidate_06/charged/01_relax/POTCAR.spec,api_key_assignment,0,True
dft_inputs/Na_candidate_06/charged/01_relax/POTCAR.spec,previous_repository_identifier,0,True
dft_inputs/Na_candidate_06/charged/02_static_template/POTCAR.spec,api_key_assignment,0,True
dft_inputs/Na_candidate_06/charged/02_static_template/POTCAR.spec,previous_repository_identifier,0,True
dft_inputs/Na_candidate_06/charged/02_static_template/README_STATIC_STAGE.txt,api_key_assignment,0,True
dft_inputs/Na_candidate_06/charged/02_static_template/README_STATIC_STAGE.txt,previous_repository_identifier,0,True
dft_inputs/Na_candidate_06/discharged/01_relax/POTCAR.spec,api_key_assignment,0,True
dft_inputs/Na_candidate_06/discharged/01_relax/POTCAR.spec,previous_repository_identifier,0,True
dft_inputs/Na_candidate_06/discharged/02_static_template/POTCAR.spec,api_key_assignment,0,True
dft_inputs/Na_candidate_06/discharged/02_static_template/POTCAR.spec,previous_repository_identifier,0,True
dft_inputs/Na_candidate_06/discharged/02_static_template/README_STATIC_STAGE.txt,api_key_assignment,0,True
dft_inputs/Na_candidate_06/discharged/02_static_template/README_STATIC_STAGE.txt,previous_repository_identifier,0,True
dft_inputs/Na_candidate_10/charged/01_relax/POTCAR.spec,api_key_assignment,0,True
dft_inputs/Na_candidate_10/charged/01_relax/POTCAR.spec,previous_repository_identifier,0,True
dft_inputs/Na_candidate_10/charged/02_static_template/POTCAR.spec,api_key_assignment,0,True
dft_inputs/Na_candidate_10/charged/02_static_template/POTCAR.spec,previous_repository_identifier,0,True
dft_inputs/Na_candidate_10/charged/02_static_template/README_STATIC_STAGE.txt,api_key_assignment,0,True
dft_inputs/Na_candidate_10/charged/02_static_template/README_STATIC_STAGE.txt,previous_repository_identifier,0,True
dft_inputs/Na_candidate_10/discharged/01_relax/POTCAR.spec,api_key_assignment,0,True
dft_inputs/Na_candidate_10/discharged/01_relax/POTCAR.spec,previous_repository_identifier,0,True
dft_inputs/Na_candidate_10/discharged/02_static_template/POTCAR.spec,api_key_assignment,0,True
dft_inputs/Na_candidate_10/discharged/02_static_template/POTCAR.spec,previous_repository_identifier,0,True
dft_inputs/Na_candidate_10/discharged/02_static_template/README_STATIC_STAGE.txt,api_key_assignment,0,True
dft_inputs/Na_candidate_10/discharged/02_static_template/README_STATIC_STAGE.txt,previous_repository_identifier,0,True
dft_inputs/Na_candidate_11/charged/01_relax/POTCAR.spec,api_key_assignment,0,True
dft_inputs/Na_candidate_11/charged/01_relax/POTCAR.spec,previous_repository_identifier,0,True
dft_inputs/Na_candidate_11/charged/02_static_template/POTCAR.spec,api_key_assignment,0,True
dft_inputs/Na_candidate_11/charged/02_static_template/POTCAR.spec,previous_repository_identifier,0,True
dft_inputs/Na_candidate_11/charged/02_static_template/README_STATIC_STAGE.txt,api_key_assignment,0,True
dft_inputs/Na_candidate_11/charged/02_static_template/README_STATIC_STAGE.txt,previous_repository_identifier,0,True
dft_inputs/Na_candidate_11/discharged/01_relax/POTCAR.spec,api_key_assignment,0,True
dft_inputs/Na_candidate_11/discharged/01_relax/POTCAR.spec,previous_repository_identifier,0,True
dft_inputs/Na_candidate_11/discharged/02_static_template/POTCAR.spec,api_key_assignment,0,True
dft_inputs/Na_candidate_11/discharged/02_static_template/POTCAR.spec,previous_repository_identifier,0,True
dft_inputs/Na_candidate_11/discharged/02_static_template/README_STATIC_STAGE.txt,api_key_assignment,0,True
dft_inputs/Na_candidate_11/discharged/02_static_template/README_STATIC_STAGE.txt,previous_repository_identifier,0,True
dft_inputs/Na_candidate_15/charged/01_relax/POTCAR.spec,api_key_assignment,0,True
dft_inputs/Na_candidate_15/charged/01_relax/POTCAR.spec,previous_repository_identifier,0,True
dft_inputs/Na_candidate_15/charged/02_static_template/POTCAR.spec,api_key_assignment,0,True
dft_inputs/Na_candidate_15/charged/02_static_template/POTCAR.spec,previous_repository_identifier,0,True
dft_inputs/Na_candidate_15/charged/02_static_template/README_STATIC_STAGE.txt,api_key_assignment,0,True
dft_inputs/Na_candidate_15/charged/02_static_template/README_STATIC_STAGE.txt,previous_repository_identifier,0,True
dft_inputs/Na_candidate_15/discharged/01_relax/POTCAR.spec,api_key_assignment,0,True
dft_inputs/Na_candidate_15/discharged/01_relax/POTCAR.spec,previous_repository_identifier,0,True
dft_inputs/Na_candidate_15/discharged/02_static_template/POTCAR.spec,api_key_assignment,0,True
dft_inputs/Na_candidate_15/discharged/02_static_template/POTCAR.spec,previous_repository_identifier,0,True
dft_inputs/Na_candidate_15/discharged/02_static_template/README_STATIC_STAGE.txt,api_key_assignment,0,True
dft_inputs/Na_candidate_15/discharged/02_static_template/README_STATIC_STAGE.txt,previous_repository_identifier,0,True
dft_inputs/Na_candidate_16/charged/01_relax/POTCAR.spec,api_key_assignment,0,True
